sym,i,tranche,entry_t,entry_px,notional,E_before,exit_t,ret,reason,net
RSS3-USDT-SWAP,2,0,2071,0.31018,0.04104428484588609,0.9999138070018236,2215,0.07331227029466769,end,0.19712365953005015
UMEE-USDT-SWAP,1,0,2071,0.10574,0.04999569035009118,0.9998088160520885,2215,-0.07159069415547559,end,0.051338775357350826
RSS3-USDT-SWAP,2,1,2119,0.33214,0.048954348555845364,0.9964392338213363,2215,0.13458180285421817,end,0.25512126892883574
UMEE-USDT-SWAP,1,1,2119,0.10779,0.04982196169106681,0.9963346077017851,2215,-0.051210687447815095,end,0.06768975884122788
DOME-USDT-SWAP,3,0,2358,0.047214,0.051325962462117514,1.0264114647211797,2502,0.1591265302664464,end,0.08863202680314705
DOME-USDT-SWAP,3,1,2406,0.0466,0.051186682374346225,1.0236261554539383,2502,0.14804721030042922,end,0.14321812647591076
NYM-USDT-SWAP,5,0,3415,1.5853,0.05191996170365818,1.0382902021535858,3559,0.2827225130890052,end,0.25803358620769906
NYM-USDT-SWAP,5,1,3463,1.3949,0.052169910863236815,1.0432886604519234,3559,0.18481611585059865,end,0.18053451506485477
FITFI-USDT-SWAP,6,0,3895,0.0929,0.013265184969324956,1.061186940657561,3902,-0.5,stop,-0.42087585002913774
FITFI-USDT-SWAP,6,1,3943,0.268,0.013195397519327978,1.0556040912114477,4039,0.11791044776119408,end,0.12120735633650631
SWEAT-USDT-SWAP,8,0,6942,0.0530427,0.028681190318982235,1.0571709502956963,7086,0.18782414922317303,end,0.10430726346864062
SWEAT-USDT-SWAP,8,1,6990,0.0624099,0.03212479498496014,1.0565008043799549,7086,0.3097248994149966,end,0.2276521197550292
ETHW-USDT-SWAP,9,0,6966,10.43,0.021345279869155912,1.0542230676367903,7110,0.39031639501438153,end,0.3476734080585344
ETHW-USDT-SWAP,9,1,7014,4.713,0.023409346317107248,1.0712773954160575,7110,-0.3492467642690431,end,-0.31245502692863014
CORE-USDT-SWAP,14,0,10453,4.77229,0.02862385118545549,1.0675828231222753,10597,0.35255401494879823,end,0.35559447047654535
CORE-USDT-SWAP,14,1,10501,2.94319,0.02796334961127766,1.0773219793075905,10597,-0.04981329781631483,end,-0.0035047641108724003
BLUR-USDT-SWAP,15,0,10610,1.0887,0.03267154753669176,1.0776548012210931,10754,0.07733994672545241,end,0.06626846394438848
BLUR-USDT-SWAP,15,1,10658,1.0253,0.035919958639525865,1.0796540796439096,10754,0.020286745342826595,end,0.004226045071100514
GFT-USDT-SWAP,17,0,10806,0.0791,0.054002015205251164,1.0799268998730922,10950,0.12262958280657399,end,0.1061107176352848
GFT-USDT-SWAP,17,1,10854,0.0823,0.05381442868945994,1.076175563488951,10950,0.1567436208991494,end,0.16881619180102098
PEPE-USDT-SWAP,19,0,12459,1.0911e-06,0.025509299923586543,1.0947333337141656,12466,-0.5,stop,-0.5130109953669412
AIDOGE-USDT-SWAP,20,0,12459,5.54e-10,0.0325430302381393,1.0947869032440052,12495,-0.5,stop,-0.4929747411902845
AIDOGE-USDT-SWAP,20,1,12507,6.47e-10,0.02611240119397613,1.0656709643108908,12603,0.41112828438949,end,0.34670053050582855
PEPE-USDT-SWAP,19,1,12507,3.0063e-06,0.016629672852277247,1.065636041997901,12603,0.31676812028074375,end,0.25755812681679296
CETUS-USDT-SWAP,21,0,12635,0.12177,0.03421035109602741,1.078990249352239,12779,0.3180586351318059,end,0.28504894464762426
CETUS-USDT-SWAP,21,1,12683,0.11751,0.03933765312311294,1.0793957695542398,12779,0.29333673729895327,end,0.28066129350987873
ORDI-USDT-SWAP,22,0,12897,9.745,0.03694279292595797,1.09977669230952,13041,0.13966136480246272,end,0.15262965394758524
ORDI-USDT-SWAP,22,1,12945,8.449,0.052220369217289064,1.1045587971398145,13041,0.007693218132323265,end,0.02126022269728692
WSM-USDT-SWAP,23,0,16203,0.04893,0.055330152727685225,1.1064868612329763,16347,0.3041079092581239,end,0.27054082491901355
WSM-USDT-SWAP,23,1,16251,0.03815,0.05594762412363295,1.1188349924619996,16347,0.10747051114023609,end,0.069260103124827
PYTH-USDT-SWAP,26,0,17294,0.3232,0.0303819970221667,1.1253832557381926,17340,-0.5,stop,-0.4938710762661016
PYTH-USDT-SWAP,26,1,17342,0.4931,0.035459324285310206,1.1103678037824887,17438,0.19630906509835733,end,0.1909298496450612
DMAIL-USDT-SWAP,32,0,18994,0.6287,0.02894472223094748,1.1171517279011103,19138,0.2791474471130906,end,0.28421086128524276
DMAIL-USDT-SWAP,32,1,19042,0.5287,0.040274418981676594,1.1218918231096437,19138,0.1428031019481747,end,0.1398678209337386
GPT-USDT-SWAP,34,0,19692,0.49367,0.01934837107312254,1.1310313798958007,19722,-0.5,stop,-0.5082034500713419
GPT-USDT-SWAP,34,1,19740,0.70738,0.02465214338173835,1.1211873330413311,19836,0.15171477847832848,end,0.25175833395559405
ZK-USDT-SWAP,38,0,20170,2.939,0.028439815722059177,1.1273857614756384,20314,-0.06362708404219108,end,0.06856687395342273
ZK-USDT-SWAP,38,1,20218,2.776,0.04633835149370926,1.130016952869368,20314,-0.12608069164265134,end,-0.03720230039842377
VENOM-USDT-SWAP,39,0,20312,0.6014,0.017017330668675123,1.1270079555071797,20456,0.1267708679747258,end,0.12744188475684756
VENOM-USDT-SWAP,39,1,20360,0.66154,0.02727414132016902,1.1259702304123231,20456,0.20615533452247792,end,0.2004143741853859
ZEUS-USDT-SWAP,40,0,20576,0.685,0.05088465590070797,1.1351996139569729,20620,-0.5,stop,-0.5178752078348005
ZEUS-USDT-SWAP,40,1,20624,1.0221,0.049763168845157316,1.1088500673296073,20720,0.3470306232266902,end,0.35053491718890384
BLOCK-USDT-SWAP,41,0,20724,0.22642,0.029033745740146714,1.1263373273883213,20868,0.16858051408886143,end,0.02675261197358927
BLOCK-USDT-SWAP,41,1,20772,0.17658,0.03643126212937295,1.136577118935149,20868,-0.06608902480462131,end,-0.1243137004275037
FOXY-USDT-SWAP,42,0,20744,0.0188791,0.024484326932707596,1.1267323239901825,20888,0.2873865809281162,end,0.24155605591383264
